"","MuniCode","ProviCode","Region","Municipality","Pop2015","HHnum","Malepop","Femalepop","Age_0_10","Age_11_20","Age_21_30","Age_31_40","Age_41_50","Age_51_60","vulnerable","Area","populationDensity"
"1","PH099701000","PH099700000","Zamboanga Peninsula","City Of Isabela (Not A Province)",112788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PH103502000","PH103500000","Northern Mindanao","Baloi",58383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PH103514000","PH103500000","Northern Mindanao","Munai",32973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PH103515000","PH103500000","Northern Mindanao","Nunungan",18367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PH103520000","PH103500000","Northern Mindanao","Tagoloan",13253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PH103521000","PH103500000","Northern Mindanao","Tangcal",15181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PH103523000","PH103500000","Northern Mindanao","Pantar",21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","PH124702000","PH124700000","Soccsksargen","Carmen",7050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8131920890556,74.3567413422608
"9","PH124703000","PH124700000","Soccsksargen","Kabacan",6114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.265717609292,57.5350182311795
"10","PH124709000","PH124700000","Soccsksargen","Midsayap",37585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2712779756772,386.393607467542
"11","PH124711000","PH124700000","Soccsksargen","Pigkawayan",11450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8771939253113,234.260584138619
"12","PH124712000","PH124700000","Soccsksargen","Pikit",45737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.586161032627,245.125360567349
"13","PH124717000","PH124700000","Soccsksargen","Aleosan",6433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5617605382046,512.1097461168
"14","PH129804000","PH129800000","Soccsksargen","Cotabato City",299438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6693886657464,3454.94533433053
"15","PH150702000","PH150700000","Autonomous Region In Muslim Mindanao","City Of Lamitan",74782,15065,37602,37180,20462,16652,11992,9078,7513,5057,4469,250.255769449088,298.822281558682
"16","PH150703000","PH150700000","Autonomous Region In Muslim Mindanao","Lantawan",24594,4609,12416,12178,7341,5584,4292,2903,2369,1246,967,150.652352491987,163.25002293813
"17","PH150704000","PH150700000","Autonomous Region In Muslim Mindanao","Maluso",40646,6294,20243,20403,12213,9806,6760,4927,3510,2051,1596,87.590100446894,464.047875189317
"18","PH150705000","PH150700000","Autonomous Region In Muslim Mindanao","Sumisip",41730,7408,20589,21141,14561,9511,6435,4992,3407,1674,1302,266.86488895741,156.371263986923
"19","PH150706000","PH150700000","Autonomous Region In Muslim Mindanao","Tipo-Tipo",19163,3149,9175,9988,6507,4656,3120,1989,1536,833,580,45.1790378708065,424.156885651224
"20","PH150707000","PH150700000","Autonomous Region In Muslim Mindanao","Tuburan",20207,3239,9974,10233,7143,4886,3016,2154,1796,748,562,44.4230248865578,454.876723311891
"21","PH150708000","PH150700000","Autonomous Region In Muslim Mindanao","Akbar",17531,2820,8525,9006,5460,4076,2670,2161,1798,885,591,31.0129193265836,565.280546967818
"22","PH150709000","PH150700000","Autonomous Region In Muslim Mindanao","Al-Barka",20905,3662,10342,10563,7473,4928,3009,2552,1728,742,533,49.6988060070691,420.633847763395
"23","PH150710000","PH150700000","Autonomous Region In Muslim Mindanao","Hadji Mohammad Ajul",19307,2948,9719,9588,6587,4854,2784,2135,1669,786,584,63.675672298858,303.208420154305
"24","PH150711000","PH150700000","Autonomous Region In Muslim Mindanao","Ungkaya Pukan",18441,3095,9168,9273,6811,4255,2654,2152,1420,672,538,70.3318297192611,262.199918210712
"25","PH150712000","PH150700000","Autonomous Region In Muslim Mindanao","Hadji Muhtamad",25085,3956,12529,12556,8351,5549,4020,3108,2123,1181,916,53.9291591951747,465.14724824867
"26","PH150713000","PH150700000","Autonomous Region In Muslim Mindanao","Tabuan-Lasa",24188,3615,12375,11813,8782,5931,3459,3083,1771,748,516,27.6834822541022,873.734011421768
"27","PH153601000","PH153600000","Autonomous Region In Muslim Mindanao","Bacolod-Kalawi (Bacolod Grande)",20841,3300,10164,10677,6706,4327,3506,2681,2148,924,619,21.7228126643938,959.40614698394
"28","PH153602000","PH153600000","Autonomous Region In Muslim Mindanao","Balabagan",26819,4769,13453,13366,7235,6063,4891,3574,2728,1388,1064,86.6640036493501,309.459508800354
"29","PH153603000","PH153600000","Autonomous Region In Muslim Mindanao","Balindong (Watu)",29180,4183,14362,14818,9547,6544,4410,3924,2711,1335,811,39.6523942814237,735.89503304395
"30","PH153604000","PH153600000","Autonomous Region In Muslim Mindanao","Bayang",23965,3536,11568,12397,8201,5347,3697,3471,2094,828,394,21.5950590345495,1109.74459304134
"31","PH153605000","PH153600000","Autonomous Region In Muslim Mindanao","Binidayan",22079,3397,10594,11485,7827,4769,3221,3060,1895,884,492,15.2506897380995,1447.73779934962
"32","PH153606000","PH153600000","Autonomous Region In Muslim Mindanao","Bubong",22336,3158,10901,11435,7049,5334,3639,2593,2190,993,637,147.41120058788,151.521729087908
"33","PH153607000","PH153600000","Autonomous Region In Muslim Mindanao","Butig",19302,3098,9494,9808,7227,4009,3062,2308,1769,624,375,473.046862034906,40.8035684180814
