PROV,PSGC_PROV,CITY/MUNI,PSGC_CITY/MUNI,Rt_max,Rt_max_date,Rt_min,Rt_min_date,Rt_Jan312021,Doubling_time
BASILAN,PH150700000,CITY OF LAMITAN (Capital),PH150702000,6.248517623,12/25/2020,0.113091918,08/04/2020,1.539569777,6.942208975
BASILAN,PH150700000,LANTAWAN,PH150703000,NA,NA,NA,NA,NA,277.6053016
BASILAN,PH150700000,MALUSO,PH150704000,4.752916483,12/04/2020,0.303897289,12/14/2020,2.599998723,92.76576606
BASILAN,PH150700000,SUMISIP,PH150705000,4.697307238,09/19/2020,0.07832316,07/20/2020,2.6,NA
BASILAN,PH150700000,TIPO-TIPO,PH150706000,5.598803376,12/03/2020,0.135433409,11/18/2020,2.055958534,69.66071689
BASILAN,PH150700000,TUBURAN,PH150707000,NA,NA,NA,NA,NA,NA
BASILAN,PH150700000,AKBAR,PH150708000,NA,NA,NA,NA,NA,277.6053016
BASILAN,PH150700000,AL-BARKA,PH150709000,NA,NA,NA,NA,NA,277.6053016
BASILAN,PH150700000,HADJI MOHAMMAD AJUL,PH150710000,NA,NA,NA,NA,NA,277.6053016
BASILAN,PH150700000,UNGKAYA PUKAN,PH150711000,NA,NA,NA,NA,NA,NA
BASILAN,PH150700000,HADJI MUHTAMAD,PH150712000,NA,NA,NA,NA,NA,NA
BASILAN,PH150700000,TABUAN-LASA,PH150713000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,AMAI MANABILANG (BUMBARAN),PH153637000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,BACOLOD-KALAWI (BACOLOD GRANDE),PH153601000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,BALABAGAN,PH153602000,4.138461539,01/27/2021,0.280403642,10/23/2020,2.286607798,55.79763048
LANAO DEL SUR,PH153600000,BALINDONG (WATU),PH153603000,4.70145379,12/02/2020,0.213806382,09/09/2020,1.998790453,35.00278878
LANAO DEL SUR,PH153600000,BAYANG,PH153604000,NA,NA,NA,NA,NA,277.6053016
LANAO DEL SUR,PH153600000,BINIDAYAN,PH153605000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,BUADIPOSO-BUNTONG,PH153633000,4.138458476,01/07/2021,0.201685114,12/09/2020,2.598497672,277.6053016
LANAO DEL SUR,PH153600000,BUBONG,PH153606000,4.138431586,11/21/2020,0.146085397,09/27/2020,1.046634216,92.76576606
LANAO DEL SUR,PH153600000,BUTIG,PH153607000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,RAJAH BUAYAN,PH153632000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,DITSAAN-RAMAIN,PH153624000,6.177227768,11/28/2020,0.290162026,10/04/2020,0.962109,35.00278878
LANAO DEL SUR,PH153600000,GANASSI,PH153609000,4.138461538,01/18/2021,0.151188002,09/25/2020,1.998793257,277.6053016
LANAO DEL SUR,PH153600000,KAPAI,PH153610000,NA,NA,NA,NA,NA,69.66071689
LANAO DEL SUR,PH153600000,KAPATAGAN,PH153639000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,LUMBA-BAYABAO (MAGUING),PH153611000,2.6,01/31/2021,0.14608554,11/06/2020,2.6,138.9757216
LANAO DEL SUR,PH153600000,LUMBACA-UNAYAN,PH153641000,NA,NA,NA,NA,NA,277.6053016
LANAO DEL SUR,PH153600000,LUMBATAN,PH153612000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,LUMBAYANAGUE,PH153636000,NA,NA,NA,NA,NA,NA
LANAO DEL SUR,PH153600000,MADALUM,PH153613000,4.138461539,01/03/2021,0.146085397,10/31/2020,1.523039579,92.76576606
LANAO DEL SUR,PH153600000,MADAMBA,PH153614000,NA,NA,NA,NA,NA,277.6053016
LANAO DEL SUR,PH153600000,MAGUING,PH153634000,4.138460652,01/04/2021,0.146085397,12/03/2020,2.599772089,138.9757216
LANAO DEL SUR,PH153600000,MALABANG,PH153615000,5.533679838,10/19/2020,0.347117639,09/16/2020,2.014559702,55.79763048
LANAO DEL SUR,PH153600000,MARANTAO,PH153616000,6.114814444,08/28/2020,0.135433409,07/15/2020,1.003876559,23.44977225
