PROV,PSGC_PROV,CITY/MUNI,PSGC_CITY/MUNI,Number of School
BASILAN,PH150700000,CITY OF LAMITAN (Capital),PH150702000,61
BASILAN,PH150700000,LANTAWAN,PH150703000,24
BASILAN,PH150700000,MALUSO,PH150704000,20
BASILAN,PH150700000,SUMISIP,PH150705000,37
BASILAN,PH150700000,TIPO-TIPO,PH150706000,15
BASILAN,PH150700000,TUBURAN,PH150707000,9
BASILAN,PH150700000,AKBAR,PH150708000,7
BASILAN,PH150700000,AL-BARKA,PH150709000,11
BASILAN,PH150700000,HADJI MOHAMMAD AJUL,PH150710000,13
BASILAN,PH150700000,UNGKAYA PUKAN,PH150711000,13
BASILAN,PH150700000,HADJI MUHTAMAD,PH150712000,15
BASILAN,PH150700000,TABUAN-LASA,PH150713000,16
LANAO DEL SUR,PH153600000,BACOLOD-KALAWI (BACOLOD GRANDE),PH153601000,22
LANAO DEL SUR,PH153600000,BALABAGAN,PH153602000,25
LANAO DEL SUR,PH153600000,BALINDONG (WATU),PH153603000,36
LANAO DEL SUR,PH153600000,BAYANG,PH153604000,34
LANAO DEL SUR,PH153600000,BINIDAYAN,PH153605000,22
LANAO DEL SUR,PH153600000,BUBONG,PH153606000,18
LANAO DEL SUR,PH153600000,BUTIG,PH153607000,25
LANAO DEL SUR,PH153600000,GANASSI,PH153609000,32
LANAO DEL SUR,PH153600000,KAPAI,PH153610000,17
LANAO DEL SUR,PH153600000,LUMBA-BAYABAO (MAGUING),PH153611000,35
LANAO DEL SUR,PH153600000,LUMBATAN,PH153612000,22
LANAO DEL SUR,PH153600000,MADALUM,PH153613000,22
LANAO DEL SUR,PH153600000,MADAMBA,PH153614000,16
LANAO DEL SUR,PH153600000,MALABANG,PH153615000,36
LANAO DEL SUR,PH153600000,MARANTAO,PH153616000,40
LANAO DEL SUR,PH153600000,CITY OF MARAWI (Capital),PH153617000,93
LANAO DEL SUR,PH153600000,MASIU,PH153618000,52
LANAO DEL SUR,PH153600000,MULONDO,PH153619000,14
LANAO DEL SUR,PH153600000,PAGAYAWAN (TATARIKAN),PH153620000,12
LANAO DEL SUR,PH153600000,PIAGAPO,PH153621000,33
LANAO DEL SUR,PH153600000,POONA BAYABAO (GATA),PH153622000,21
LANAO DEL SUR,PH153600000,PUALAS,PH153623000,26
LANAO DEL SUR,PH153600000,DITSAAN-RAMAIN,PH153624000,21
LANAO DEL SUR,PH153600000,SAGUIARAN,PH153625000,37
LANAO DEL SUR,PH153600000,TAMPARAN,PH153626000,18
LANAO DEL SUR,PH153600000,TARAKA,PH153627000,21
LANAO DEL SUR,PH153600000,TUBARAN,PH153628000,16
LANAO DEL SUR,PH153600000,TUGAYA,PH153629000,24
LANAO DEL SUR,PH153600000,WAO,PH153630000,44
LANAO DEL SUR,PH153600000,MAROGONG,PH153631000,12
LANAO DEL SUR,PH153600000,CALANOGAS,PH153632000,9
LANAO DEL SUR,PH153600000,BUADIPOSO-BUNTONG,PH153633000,13
LANAO DEL SUR,PH153600000,MAGUING,PH153634000,23
LANAO DEL SUR,PH153600000,PICONG (SULTAN GUMANDER),PH153635000,19
LANAO DEL SUR,PH153600000,LUMBAYANAGUE,PH153636000,25
LANAO DEL SUR,PH153600000,AMAI MANABILANG (BUMBARAN),PH153637000,7
LANAO DEL SUR,PH153600000,TAGOLOAN II,PH153638000,5
LANAO DEL SUR,PH153600000,KAPATAGAN,PH153639000,14
LANAO DEL SUR,PH153600000,SULTAN DUMALONDONG,PH153640000,8
LANAO DEL SUR,PH153600000,LUMBACA-UNAYAN,PH153641000,9
MAGUINDANAO,PH153800000,AMPATUAN,PH153801000,14
MAGUINDANAO,PH153800000,BULDON,PH153802000,32
MAGUINDANAO,PH153800000,BULUAN,PH153803000,18
MAGUINDANAO,PH153800000,DATU PAGLAS,PH153805000,28
MAGUINDANAO,PH153800000,DATU PIANG,PH153806000,25
MAGUINDANAO,PH153800000,DATU ODIN SINSUAT (DINAIG),PH153807000,62
MAGUINDANAO,PH153800000,SHARIFF AGUAK (MAGANOY) (Capital),PH153808000,10
MAGUINDANAO,PH153800000,MATANOG,PH153809000,18
MAGUINDANAO,PH153800000,PAGALUNGAN,PH153810000,22
MAGUINDANAO,PH153800000,PARANG,PH153811000,47
MAGUINDANAO,PH153800000,SULTAN KUDARAT (NULING),PH153812000,42
MAGUINDANAO,PH153800000,SULTAN SA BARONGIS (LAMBAYONG),PH153813000,14
MAGUINDANAO,PH153800000,KABUNTALAN (TUMBAO),PH153814000,15
MAGUINDANAO,PH153800000,UPI,PH153815000,48
MAGUINDANAO,PH153800000,TALAYAN,PH153816000,8
MAGUINDANAO,PH153800000,SOUTH UPI,PH153817000,43
MAGUINDANAO,PH153800000,BARIRA,PH153818000,36
MAGUINDANAO,PH153800000,GEN. S.K. PENDATUN,PH153819000,21
MAGUINDANAO,PH153800000,MAMASAPANO,PH153820000,16
MAGUINDANAO,PH153800000,TALITAY,PH153821000,10
MAGUINDANAO,PH153800000,PAGAGAWAN,PH153822000,15
MAGUINDANAO,PH153800000,PAGLAT,PH153823000,11
MAGUINDANAO,PH153800000,SULTAN MASTURA,PH153824000,16
MAGUINDANAO,PH153800000,GUINDULUNGAN,PH153825000,14
MAGUINDANAO,PH153800000,DATU SAUDI-AMPATUAN,PH153826000,13
MAGUINDANAO,PH153800000,DATU UNSAY,PH153827000,6
MAGUINDANAO,PH153800000,DATU ABDULLAH SANGKI,PH153828000,14
