facilityname,region,province,city_mun,region_psgc,city_mun_psgc,updateddate,resdoc_total,nurse_total,support_total
MULONDO CQF,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,MULONDO,PH150000000,PH153619000,7/10/20 14:06,1,5,1
TARAKA LIGTAS COVID-19 FACILITY,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,TARAKA,PH150000000,PH153627000,7/6/20 17:13,1,12,12
TUBARAN COMMUNITY QUARANTINE FACILTY,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,TUBARAN,PH150000000,PH153628000,7/17/20 9:32,1,6,1
HPT QUARANTINE AREA 1,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,HADJI PANGLIMA TAHIL (MARUNGGAS),PH150000000,PH156606000,7/23/20 19:49,0,6,13
SIBAGO ELEMENTARY SCHOOL BUILDING 1,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,HADJI MOHAMMAD AJUL,PH150000000,PH150710000,1/14/21 0:19,1,14,10
BINIDAYAN LIGTAS COVID CENTER,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,BINIDAYAN,PH150000000,PH153605000,7/27/20 7:41,1,11,4
LUMBAC COMMUNITY QUARANTINE FACILITY,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,BUADIPOSO-BUNTONG,PH150000000,PH153633000,7/27/20 8:32,1,2,1
PUALAS LIGTAS COVID CENTER,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,PUALAS,PH150000000,PH153623000,7/13/20 9:35,1,3,3
TABUAN-LASA RHU,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,TABUAN-LASA,PH150000000,PH150713000,1/14/21 15:59,0,4,4
TUBURAN RHU,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,TUBURAN,PH150000000,PH150707000,1/14/21 16:04,1,2,3
TALIPAO SENIOR HIGHSCHOOL BUILDING,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,TALIPAO,PH150000000,PH156613000,7/24/20 11:33,0,2,0
GEN. SALIPADA K. PENDATUN LIGTAS COVID CENTER,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,GEN. S.K. PENDATUN,PH150000000,PH153819000,11/4/20 18:16,1,3,3
TABUAN-LASA TB-DOTS,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,TABUAN-LASA,PH150000000,PH150713000,1/13/21 23:56,0,4,2
AMAI MANA ILANG LIGTAS COVID CENTER 1,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,BUMBARAN,PH150000000,PH153637000,7/8/20 12:18,1,1,2
AKBAR RHU/BIRTHING FACILITY,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,AKBAR,PH150000000,PH150708000,1/14/21 11:15,1,2,2
