"","Municipality","Household Population","Number of Households","Average Household Size"
"1","Carmen","95865","21905",4.37639808262954
"2","Tuburan","20207","3239",6.2386539055264
"3","Baloi","58223","10084",5.7738000793336
"4","Kapatagan","15487","2604",5.9473886328725
"5","Munai","32854","6020",5.45747508305648
"6","Nunungan","18367","3508",5.23574686431015
"7","Tagoloan","13229","2768",4.77926300578035
"8","Tangcal","15178","2405",6.31101871101871
"9","Pantar","21773","3427",6.35337029471841
"10","Kabacan","88066","20094",4.3827013038718
"11","Midsayap","150831","34198",4.41052108310427
"12","Pigkawayan","66604","15826",4.20851762921774
"13","Pikit","154224","36099",4.27225130890052
"14","Aleosan","39401","8845",4.45460712266817
"15","Cotabato City","298223","58866",5.06613325179221
"16","City Of Lamitan","74677","15065",4.95698639230003
"17","Lantawan","24593","4609",5.33586461271425
"18","Maluso","40646","6294",6.45789640927868
"19","Sumisip","41708","7408",5.63012958963283
"20","Tipo-Tipo","19063","3149",6.05366783105748
"21","Akbar","17531","2820",6.21666666666667
"22","Al-Barka","20842","3662",5.69142545057346
"23","Hadji Mohammad Ajul","19307","2948",6.54918588873813
"24","Ungkaya Pukan","18441","3095",5.95831987075929
"25","Hadji Muhtamad","25085","3956",6.34100101112235
"26","Tabuan-Lasa","24188","3615",6.69100968188105
"27","Bacolod-Kalawi (Bacolod Grande)","20841","3300",6.31545454545455
"28","Balabagan","26797","4769",5.61899769343678
"29","Balindong (Watu)","29159","4183",6.97083432942864
"30","Bayang","23965","3536",6.77743212669683
"31","Binidayan","22079","3397",6.49955843391228
"32","Bubong","22239","3158",7.04211526282457
"33","Butig","19302","3098",6.23047127178825
"34","Ganassi","22993","3579",6.42442022911428
"35","Kapai","18816","2723",6.91002570694087
"36","Lumba-Bayabao (Maguing)","36104","5768",6.25936199722608
"37","Lumbatan","19105","2913",6.55853072433917
"38","Madalum","23127","3701",6.24885166171305
"39","Madamba","17407","2630",6.61863117870722
"40","Malabang","43933","6713",6.54446596156711
"41","Marantao","32847","5083",6.4621286641747
"42","Masiu","28958","4316",6.709453197405
"43","Mulondo","15986","2246",7.11754229741763
"44","Pagayawan (Tatarikan)","13139","1833",7.16803055100927
"45","Piagapo","25440","4067",6.25522498155889
"46","Poona Bayabao (Gata)","22227","3558",6.24704890387858
"47","Pualas","12866","2221",5.79288608734804
