Municipality/City Code,Poverty Incidence_2015,Score,Rank
PH150702000,37.6,0.279,107
PH150703000,45.8,0.425,100
PH150704000,48.7,0.477,95
PH150705000,51.2,0.521,88
PH150706000,54.6,0.582,73
PH150707000,56,0.606,67
PH150708000,52.1,0.536,83
PH150709000,52.5,0.544,81
PH150710000,56.1,0.607,66
PH150711000,53.5,0.561,77
PH150712000,57.2,0.627,63
PH150713000,62.2,0.715,35
PH153601000,61.4,0.701,41
PH153602000,59.7,0.672,53
PH153603000,61.4,0.702,40
PH153604000,66.5,0.792,14
PH153605000,65.3,0.771,20
PH153606000,65.6,0.776,18
PH153607000,65.1,0.766,22
PH153609000,63.2,0.733,29
PH153610000,73.6,0.918,2
PH153611000,65.1,0.768,21
PH153612000,65.8,0.78,17
PH153613000,64.5,0.756,25
PH153614000,70,0.855,7
PH153615000,61.6,0.705,38
PH153616000,61.1,0.697,43
PH153617000,54.6,0.582,72
PH153618000,63.4,0.737,28
PH153619000,65.9,0.781,16
PH153620000,73.2,0.911,3
PH153621000,68.1,0.82,12
PH153622000,60.9,0.693,45
PH153623000,64.5,0.757,24
PH153624000,64.2,0.752,26
PH153625000,62,0.713,36
PH153626000,68.5,0.828,11
PH153627000,66.9,0.798,13
PH153628000,66.4,0.791,15
PH153629000,68.6,0.828,9
PH153630000,45.4,0.418,101
PH153631000,72.5,0.899,4
PH153632000,68.5,0.828,10
PH153633000,61.4,0.702,39
PH153634000,64.5,0.757,23
PH153635000,71.4,0.879,5
PH153636000,65.4,0.773,19
PH153637000,53.7,0.565,74
PH153638000,78.2,1,1
PH153639000,62.6,0.723,33
PH153640000,70.9,0.87,6
PH153641000,68.7,0.831,8
PH153801000,51.2,0.52,89
PH153802000,60.8,0.691,46
PH153803000,63.1,0.732,30
PH153805000,52.7,0.548,80
PH153806000,57.5,0.633,62
PH153807000,44.6,0.404,103
PH153808000,60.2,0.681,47
PH153809000,55.9,0.604,68
PH153810000,53,0.554,78
PH153811000,44.9,0.41,102
PH153812000,52.3,0.54,82
PH153813000,56.4,0.614,64
PH153814000,62.5,0.721,34
PH153815000,43.7,0.387,104
PH153816000,60,0.678,49
PH153817000,48.5,0.473,97
PH153818000,60.1,0.678,48
PH153819000,58.6,0.651,58
PH153820000,59.8,0.674,51
PH153821000,58.2,0.644,59
PH153822000,59.4,0.666,54
PH153823000,58.6,0.652,57
PH153824000,52,0.536,84
PH153825000,62.7,0.725,32
PH153826000,59.8,0.674,50
PH153827000,57.6,0.635,61
PH153828000,53.6,0.564,75
PH153829000,55.4,0.594,69
PH153830000,61,0.694,44
PH153831000,58.8,0.655,56
PH153832000,63.7,0.742,27
PH153833000,61.1,0.697,42
PH153834000,56.4,0.613,65
PH153835000,61.7,0.707,37
PH153836000,55.2,0.592,70
PH153837000,52,0.535,85
PH156601000,50.2,0.502,91
PH156602000,40.7,0.334,105
PH156603000,49.2,0.486,93
PH156604000,51.9,0.533,86
PH156605000,51.2,0.52,90
PH156606000,50.1,0.501,92
PH156607000,59.7,0.672,52
PH156608000,48.3,0.47,98
PH156609000,55,0.588,71
PH156610000,59.4,0.665,55
PH156611000,40.2,0.325,106
PH156612000,46.1,0.43,99
PH156613000,58.1,0.642,60
PH156614000,48.6,0.474,96
PH156615000,51.3,0.522,87
PH156616000,62.8,0.727,31
PH156617000,52.9,0.551,79
PH156618000,49.2,0.485,94
PH156619000,53.6,0.563,76
PH157001000,29.4,0.134,109
PH157002000,22,0.003,117
PH157003000,27.6,0.103,112
PH157004000,21.8,0,118
PH157005000,28.9,0.125,110
PH157006000,25.3,0.061,115
PH157007000,26,0.074,114
PH157008000,35.1,0.235,108
PH157009000,22.1,0.004,116
PH157010000,28.7,0.121,111
PH157011000,26.3,0.079,113
PH099701000,NA,0,130
PH103502000,40.1,0.325,115
PH103514000,56.3,0.611,70
PH103515000,69.1,0.838,8
PH103520000,60.0,0.677,52
PH103521000,65.9,0.782,17
PH103523000,53.2,0.557,83
PH124702000,52.3,0.541,88
PH124703000,36.9,0.267,119
PH124709000,39.2,0.309,116
PH124711000,38.8,0.302,117
PH124712000,58.8,0.656,59
PH124717000,50.9,0.515,98
PH129804000,NA,0,130
