"","MuniCode","Municipality","vulnerableScore","averageHouseScore","popDensityScore","demographicScore","povertyScore","finConScore","cashPosScore","financialScore","rhubhsScore","healthWorkerScore","numberOfBedScore","healthInfrastractureScore","totalCaseScore","activeCaseScore","caseFatalScore","epidomiologicalScore","totalScore","demographicRank","financialRank","healthInfrastractureRank","epidomiologicalRank","totalScoreRank"
"1","PH150708000","Akbar",0.393492163283436,0.599748972212871,0.0128548391050595,7.0379453061369,0.536,0.963962802263449,0.906237636158758,8.38585134048158,0.613784447472908,0.928563602467143,0.94075853089937,8.44918583316604,0.0364662231150763,0,0,0.182331115575382,6.01382839883998,31,62,21,84,17
"2","PH150709000","Al-Barka",0.241341398302465,0.442881691129032,0.00937153566549193,4.85190395279861,0.544,0.997561913313004,0.908476273945161,8.53863031889485,0.779650193361685,0.924118063564309,0.94075853089937,8.99844511046669,0.038583695703454,0,0,0.19291847851727,5.64547446516936,103,59,16,83,46
"3","PH124717000","Aleosan",0.319038043640283,0.0734964975292757,0.0115744086873065,0.595096690783434,0.515,0.920047982526193,0.83179353950169,1.79482696926939,0.688528897689311,0.924783451834041,0.544170849729161,0,0.321443819201858,0.249055650551842,0.0909090909090909,3.30704280331395,1.4242416158417,126,126,118,11,127
"4","PH153801000","Ampatuan",0.446448590936107,0.631521003325685,0.00191402775376289,7.55411219267607,0.52,0.956222692911719,0.832803305371228,8.04718861060664,0.447240669981729,0.959603193898681,0,4.78702176374427,0.0856401657004666,0.129202451514052,0,1.07421308607259,5.36563391327489,21,76,80,42,59
"5","PH153601000","Bacolod-Kalawi (Bacolod Grande)",0.319214499955783,0.629252723012855,0.0223459582644231,6.79113150681497,0.701,0.90367846229403,0.904174283210217,8.74360498943026,0.517900927898148,0.924783451834041,0.588825373331709,3.76582151475046,0.066409270934976,0.0768761095916703,0.125,1.34142690263323,5.16049622840723,40,46,95,32,75
"6","PH153602000","Balabagan",0.503902906703526,0.421250591000334,0.0066942954696799,6.51855684503485,0.672,0.963041057443487,0.836504319519219,8.61358504533156,0.716218424433508,0.924783451834041,0.588825373331709,4.44062999664377,0.100151608113666,0.119480592117529,0.0666666666666667,1.43149433448931,5.25106655537487,49,57,85,30,72
"7","PH153603000","Balindong (Watu)",0.283876923970129,0.824986876463382,0.0169634847185287,7.87550199691047,0.702,0.944350651469817,0.915267309377739,8.92749708950303,0.592446968754944,0.924783451834041,0.588825373331709,4.01947689836792,0.28258476528486,0.0549066141192598,0.0454545454545455,1.91472962429332,5.68430140226869,17,30,90,18,40
"8","PH103502000","Baloi",0.319038043640283,0.46748350006552,0.019881009454792,3.27018832004192,0.325,0.920047982526193,0.83179353950169,1.13265779614088,0.688528897689311,0.924783451834041,0.544170849729161,0,0.35494204335826,0,0.00909090909090909,1.82016476224584,1.55575271960716,117,127,118,19,126
"9","PH153818000","Barira",0,0.542476279819895,0.00371170597140658,3.82074997605605,0.678,0.630619917170323,0,4.5606724657483,0.576325356621331,0.924783451834041,0,1.96104350736857,0.0502736185049376,0,0,0.251368092524688,2.6484585104244,115,110,116,77,118
"10","PH153604000","Bayang",0.0736294073651231,0.767225838737089,0.0259663272678728,6.06367879165343,0.792,0.975848375365056,0.908816827344435,9.32844833694742,0.764450555390542,0.989548495846872,0.588825373331709,7.97185231210376,0.0728360218674367,0,0,0.364180109337184,5.93203988751045,71,11,26,71,21
"11","PH153605000","Binidayan",0.181842181347897,0.684236748512867,0.0341056965349185,6.29706342728219,0.771,0.952647946809434,0.787344434706398,8.75106183684388,0.755906418146269,0.852524395969648,0.588825373331709,7.47653201601316,0.0187164439616014,0,0,0.093582219808007,5.65455987498681,62,45,34,94,43
"12","PH157002000","Bongao",0.43053409377573,0.552719219916409,0.0189370164793627,3.14418621137745,0.003,0.919041671940034,0.830524602479028,6.10787031992101,0.933406943488624,0.924783451834041,0.942731178543655,6.38387404071037,0.235554124821315,0.0796887900762979,0.0078740157480315,1.61558465322822,4.31287880630926,118,105,52,25,103
"13","PH153633000","Buadiposo-Buntong",0.156083034120809,0.64793688590603,0.0128005100912135,5.71390568815647,0.702,0.984760167251314,0.89073244021535,8.98282183490031,0.458851968036594,0.943063168685126,0.588825373331709,6.77382785130676,0.183357347737133,0,0,0.916786738685667,5.5968355282623,83,27,47,46,49
"14","PH153606000","Bubong",0.29732206879852,0.846275468965905,0.00289092343052582,8.02003316552796,0.776,0.93043055353244,0.78485038187054,8.68236545803485,0.597719274789226,0.981310418380663,0.588825373331709,7.376489780012,0.190624714819409,0.143461228510029,0,1.67042971664719,6.4373295300555,14,52,37,23,5
"15","PH153802000","Buldon",0.220575545483406,0.639747822098162,0.00146226977995673,6.02845089780613,0.691,0.96014767020639,0.885213471891824,8.83947452746562,0.886389115841192,0.924783451834041,0,3.01608735526214,0.0470946430167889,0,0,0.235473215083944,4.52987149890446,72,38,101,80,97
